09-12-2026 20:36:40 RAM 3522/7620MB (lfb 4x4MB) SWAP 1057/12002MB (cached 10MB) CPU [16%@1190,15%@1190,21%@1190,0%@1190,7%@1728,96%@1728] GR3D_FREQ 0% cpu@50.968C soc2@49C soc0@49.406C gpu@50.031C tj@50.968C soc1@50.031C VDD_IN 5802mW/5802mW VDD_CPU_GPU_CV 1547mW/1547mW VDD_SOC 1470mW/1470mW
09-12-2026 20:36:40 RAM 3634/7620MB (lfb 94x1MB) SWAP 1057/12002MB (cached 10MB) CPU [24%@1728,32%@1728,32%@1728,23%@1728,8%@806,68%@806] GR3D_FREQ 73% cpu@50.906C soc2@49C soc0@49.468C gpu@49.781C tj@50.906C soc1@50.093C VDD_IN 6120mW/5961mW VDD_CPU_GPU_CV 1507mW/1527mW VDD_SOC 1589mW/1530mW
09-12-2026 20:36:41 RAM 3700/7620MB (lfb 94x1MB) SWAP 1057/12002MB (cached 10MB) CPU [11%@729,22%@1728,5%@1728,25%@1728,66%@1728,30%@1728] GR3D_FREQ 0% cpu@50.937C soc2@49C soc0@49.531C gpu@49.875C tj@50.937C soc1@50.062C VDD_IN 5842mW/5921mW VDD_CPU_GPU_CV 1230mW/1428mW VDD_SOC 1589mW/1549mW
09-12-2026 20:36:41 RAM 3767/7620MB (lfb 94x1MB) SWAP 1057/12002MB (cached 10MB) CPU [3%@729,15%@729,0%@729,12%@729,84%@806,8%@806] GR3D_FREQ 35% cpu@50.656C soc2@49C soc0@49.531C gpu@49.781C tj@50.656C soc1@50.093C VDD_IN 5842mW/5902mW VDD_CPU_GPU_CV 1230mW/1379mW VDD_SOC 1589mW/1559mW
09-12-2026 20:36:42 RAM 3965/7620MB (lfb 35x1MB) SWAP 1057/12002MB (cached 10MB) CPU [8%@1728,29%@1728,15%@1728,40%@1728,58%@729,54%@729] GR3D_FREQ 2% cpu@50.718C soc2@48.937C soc0@49.593C gpu@49.906C tj@50.718C soc1@50.062C VDD_IN 5882mW/5898mW VDD_CPU_GPU_CV 1190mW/1341mW VDD_SOC 1629mW/1573mW
09-12-2026 20:36:42 RAM 3965/7620MB (lfb 16x1MB) SWAP 1057/12002MB (cached 10MB) CPU [2%@729,9%@729,0%@729,11%@729,8%@1728,90%@1728] GR3D_FREQ 0% cpu@50.687C soc2@49C soc0@49.531C gpu@49.781C tj@50.687C soc1@50.187C VDD_IN 5802mW/5882mW VDD_CPU_GPU_CV 1150mW/1309mW VDD_SOC 1589mW/1576mW
09-12-2026 20:36:43 RAM 3956/7620MB (lfb 17x1MB) SWAP 1057/12002MB (cached 10MB) CPU [18%@729,35%@729,19%@729,27%@729,32%@729,68%@729] GR3D_FREQ 43% cpu@50.781C soc2@48.937C soc0@49.562C gpu@49.906C tj@50.781C soc1@50.187C VDD_IN 5961mW/5893mW VDD_CPU_GPU_CV 1269mW/1303mW VDD_SOC 1629mW/1583mW
09-12-2026 20:36:43 RAM 4002/7620MB (lfb 28x1MB) SWAP 1057/12002MB (cached 10MB) CPU [9%@729,30%@729,38%@729,35%@729,45%@1574,64%@1574] GR3D_FREQ 0% cpu@50.656C soc2@49.031C soc0@49.5C gpu@49.781C tj@50.656C soc1@50.125C VDD_IN 5882mW/5892mW VDD_CPU_GPU_CV 1190mW/1289mW VDD_SOC 1629mW/1589mW
09-12-2026 20:36:44 RAM 4033/7620MB (lfb 37x1MB) SWAP 1057/12002MB (cached 10MB) CPU [5%@1728,6%@1728,8%@1728,4%@1728,5%@1728,94%@1728] GR3D_FREQ 72% cpu@51.187C soc2@49.031C soc0@49.625C gpu@49.843C tj@51.187C soc1@50.156C VDD_IN 5882mW/5891mW VDD_CPU_GPU_CV 1269mW/1287mW VDD_SOC 1589mW/1589mW
09-12-2026 20:36:44 RAM 4205/7620MB (lfb 57x1MB) SWAP 1057/12002MB (cached 10MB) CPU [49%@806,44%@806,34%@806,4%@806,60%@729,44%@729] GR3D_FREQ 65% cpu@51.062C soc2@49.031C soc0@49.718C gpu@49.906C tj@51.062C soc1@50.156C VDD_IN 5961mW/5898mW VDD_CPU_GPU_CV 1269mW/1285mW VDD_SOC 1629mW/1593mW
09-12-2026 20:36:45 RAM 4251/7620MB (lfb 57x1MB) SWAP 1057/12002MB (cached 10MB) CPU [3%@729,11%@729,16%@729,19%@729,84%@1728,14%@1728] GR3D_FREQ 0% cpu@51.125C soc2@48.937C soc0@49.593C gpu@49.875C tj@51.125C soc1@50.093C VDD_IN 5842mW/5893mW VDD_CPU_GPU_CV 1190mW/1276mW VDD_SOC 1629mW/1596mW
09-12-2026 20:36:45 RAM 4363/7620MB (lfb 57x1MB) SWAP 1057/12002MB (cached 10MB) CPU [22%@729,16%@729,18%@729,21%@729,56%@729,26%@729] GR3D_FREQ 39% cpu@50.937C soc2@49C soc0@49.625C gpu@50C tj@50.937C soc1@50.187C VDD_IN 5882mW/5892mW VDD_CPU_GPU_CV 1269mW/1276mW VDD_SOC 1629mW/1599mW
