09-12-2026 20:05:22 RAM 3322/7620MB (lfb 126x1MB) SWAP 1224/12002MB (cached 9MB) CPU [13%@1728,6%@1728,13%@1728,90%@1728,12%@729,19%@729] GR3D_FREQ 0% cpu@57.687C soc2@55.906C soc0@56.218C gpu@56.5C tj@57.687C soc1@56.812C VDD_IN 5802mW/5802mW VDD_CPU_GPU_CV 1547mW/1547mW VDD_SOC 1468mW/1468mW
09-12-2026 20:05:23 RAM 3730/7620MB (lfb 126x1MB) SWAP 1224/12002MB (cached 9MB) CPU [37%@1113,36%@1113,17%@1113,58%@1728,1%@729,56%@729] GR3D_FREQ 15% cpu@57.343C soc2@55.906C soc0@56.062C gpu@56.437C tj@57.531C soc1@56.875C VDD_IN 6031mW/5917mW VDD_CPU_GPU_CV 1386mW/1467mW VDD_SOC 1587mW/1528mW
09-12-2026 20:05:23 RAM 3889/7620MB (lfb 1x2MB) SWAP 1223/12002MB (cached 9MB) CPU [8%@1728,11%@1728,7%@1728,92%@1728,3%@729,10%@729] GR3D_FREQ 0% cpu@57.468C soc2@55.843C soc0@56.031C gpu@56.593C tj@57.468C soc1@57C VDD_IN 5912mW/5915mW VDD_CPU_GPU_CV 1269mW/1401mW VDD_SOC 1587mW/1547mW
09-12-2026 20:05:24 RAM 4031/7620MB (lfb 166x1MB) SWAP 1223/12002MB (cached 9MB) CPU [33%@1267,16%@1267,20%@1267,70%@1267,0%@729,39%@729] GR3D_FREQ 0% cpu@57.437C soc2@56.062C soc0@56.093C gpu@56.312C tj@57.437C soc1@57C VDD_IN 6150mW/5974mW VDD_CPU_GPU_CV 1426mW/1407mW VDD_SOC 1626mW/1567mW
09-12-2026 20:05:24 RAM 4079/7620MB (lfb 3x2MB) SWAP 1223/12002MB (cached 9MB) CPU [37%@1728,18%@1728,15%@1728,83%@1728,1%@729,29%@729] GR3D_FREQ 0% cpu@57.718C soc2@55.875C soc0@55.968C gpu@56.593C tj@57.718C soc1@56.968C VDD_IN 6031mW/5985mW VDD_CPU_GPU_CV 1307mW/1387mW VDD_SOC 1626mW/1579mW
09-12-2026 20:05:25 RAM 4234/7620MB (lfb 1x2MB) SWAP 1223/12002MB (cached 9MB) CPU [25%@1190,1%@1190,12%@1190,82%@1190,30%@1574,24%@1574] GR3D_FREQ 5% cpu@57.593C soc2@55.906C soc0@56.125C gpu@56.687C tj@57.593C soc1@56.906C VDD_IN 6031mW/5993mW VDD_CPU_GPU_CV 1346mW/1380mW VDD_SOC 1626mW/1587mW
09-12-2026 20:05:25 RAM 4595/7620MB (lfb 192x1MB) SWAP 1223/12002MB (cached 9MB) CPU [41%@1728,25%@1728,30%@1728,34%@1728,36%@1728,54%@1728] GR3D_FREQ 0% cpu@57.375C soc2@55.812C soc0@56.031C gpu@56.562C tj@57.375C soc1@56.875C VDD_IN 6110mW/6010mW VDD_CPU_GPU_CV 1386mW/1381mW VDD_SOC 1626mW/1592mW
09-12-2026 20:05:26 RAM 4774/7620MB (lfb 192x1MB) SWAP 1223/12002MB (cached 9MB) CPU [17%@729,17%@729,14%@729,0%@729,11%@1728,88%@1728] GR3D_FREQ 0% cpu@57.437C soc2@55.906C soc0@56.062C gpu@56.718C tj@57.468C soc1@56.843C VDD_IN 6031mW/6012mW VDD_CPU_GPU_CV 1386mW/1382mW VDD_SOC 1587mW/1592mW
09-12-2026 20:05:26 RAM 5311/7620MB (lfb 192x1MB) SWAP 1223/12002MB (cached 9MB) CPU [33%@1190,50%@1190,47%@1190,38%@1113,32%@729,54%@729] GR3D_FREQ 5% cpu@57.281C soc2@55.843C soc0@56.031C gpu@56.562C tj@57.375C soc1@57.031C VDD_IN 6229mW/6036mW VDD_CPU_GPU_CV 1426mW/1387mW VDD_SOC 1666mW/1600mW
09-12-2026 20:05:27 RAM 5369/7620MB (lfb 192x1MB) SWAP 1223/12002MB (cached 9MB) CPU [5%@1574,94%@1651,0%@1651,8%@1651,0%@729,0%@729] GR3D_FREQ 4% cpu@57.437C soc2@55.812C soc0@56.031C gpu@56.718C tj@57.437C soc1@57C VDD_IN 5912mW/6024mW VDD_CPU_GPU_CV 1309mW/1379mW VDD_SOC 1587mW/1599mW
09-12-2026 20:05:27 RAM 5865/7620MB (lfb 12894x32kB) SWAP 1223/12002MB (cached 9MB) CPU [66%@1728,42%@1728,32%@1728,34%@1728,32%@729,54%@729] GR3D_FREQ 4% cpu@57.468C soc2@55.968C soc0@56.031C gpu@56.531C tj@57.468C soc1@56.937C VDD_IN 6229mW/6043mW VDD_CPU_GPU_CV 1465mW/1387mW VDD_SOC 1666mW/1605mW
09-12-2026 20:05:28 RAM 5998/7620MB (lfb 13064x32kB) SWAP 1223/12002MB (cached 9MB) CPU [23%@1728,92%@1728,9%@1728,0%@1728,15%@729,12%@729] GR3D_FREQ 0% cpu@57.437C soc2@55.906C soc0@55.968C gpu@56.687C tj@57.437C soc1@56.906C VDD_IN 6071mW/6045mW VDD_CPU_GPU_CV 1346mW/1383mW VDD_SOC 1587mW/1603mW
09-12-2026 20:05:28 RAM 6421/7620MB (lfb 11472x32kB) SWAP 1223/12002MB (cached 9MB) CPU [46%@1420,72%@1420,29%@1420,4%@1420,43%@729,44%@729] GR3D_FREQ 14% cpu@57.687C soc2@55.937C soc0@56.093C gpu@56.531C tj@57.687C soc1@56.875C VDD_IN 6269mW/6062mW VDD_CPU_GPU_CV 1465mW/1390mW VDD_SOC 1626mW/1605mW
09-12-2026 20:05:29 RAM 6679/7620MB (lfb 3x256kB) SWAP 1223/12002MB (cached 9MB) CPU [42%@1728,78%@1728,20%@1728,4%@1728,59%@1728,30%@1728] GR3D_FREQ 0% cpu@57.531C soc2@55.906C soc0@56C gpu@56.531C tj@57.531C soc1@56.812C VDD_IN 6269mW/6077mW VDD_CPU_GPU_CV 1545mW/1401mW VDD_SOC 1626mW/1607mW
09-12-2026 20:05:29 RAM 6707/7620MB (lfb 6x128kB) SWAP 1223/12002MB (cached 9MB) CPU [5%@1728,74%@1728,3%@1728,12%@1728,6%@1036,6%@1036] GR3D_FREQ 20% cpu@57.343C soc2@55.875C soc0@56C gpu@56.5C tj@57.343C soc1@57.031C VDD_IN 5842mW/6061mW VDD_CPU_GPU_CV 1269mW/1392mW VDD_SOC 1547mW/1603mW
09-12-2026 20:05:30 RAM 6887/7620MB (lfb 1x128kB) SWAP 1239/12002MB (cached 9MB) CPU [23%@1267,51%@1267,31%@1267,44%@1267,50%@806,34%@806] GR3D_FREQ 10% cpu@57.25C soc2@55.781C soc0@55.968C gpu@56.593C tj@57.25C soc1@57C VDD_IN 5952mW/6054mW VDD_CPU_GPU_CV 1349mW/1389mW VDD_SOC 1587mW/1602mW
09-12-2026 20:05:30 RAM 7029/7620MB (lfb 1339x32kB) SWAP 1265/12002MB (cached 8MB) CPU [19%@883,59%@883,40%@883,40%@883,42%@1728,52%@1728] GR3D_FREQ 19% cpu@57.437C soc2@55.875C soc0@55.968C gpu@56.468C tj@57.437C soc1@56.937C VDD_IN 6190mW/6062mW VDD_CPU_GPU_CV 1584mW/1401mW VDD_SOC 1587mW/1601mW
09-12-2026 20:05:31 RAM 7088/7620MB (lfb 9x64kB) SWAP 1265/12002MB (cached 8MB) CPU [5%@1728,92%@1728,8%@1728,8%@1728,8%@729,32%@729] GR3D_FREQ 0% cpu@57.25C soc2@55.843C soc0@55.937C gpu@56.656C tj@57.25C soc1@56.875C VDD_IN 6071mW/6063mW VDD_CPU_GPU_CV 1465mW/1404mW VDD_SOC 1547mW/1598mW
09-12-2026 20:05:31 RAM 7219/7620MB (lfb 899x32kB) SWAP 1265/12002MB (cached 7MB) CPU [36%@1728,31%@1728,23%@1728,66%@1728,34%@1728,54%@1728] GR3D_FREQ 9% cpu@57.781C soc2@55.906C soc0@56.156C gpu@56.531C tj@57.781C soc1@56.937C VDD_IN 6626mW/6093mW VDD_CPU_GPU_CV 1941mW/1432mW VDD_SOC 1587mW/1597mW
09-12-2026 20:05:32 RAM 7387/7620MB (lfb 3x2MB) SWAP 1324/12002MB (cached 7MB) CPU [21%@1728,0%@1728,16%@1728,84%@1728,25%@960,71%@960] GR3D_FREQ 0% cpu@57.781C soc2@55.968C soc0@55.937C gpu@56.437C tj@57.781C soc1@56.937C VDD_IN 6586mW/6117mW VDD_CPU_GPU_CV 2020mW/1462mW VDD_SOC 1547mW/1595mW
09-12-2026 20:05:32 RAM 7357/7620MB (lfb 6x2MB) SWAP 1433/12002MB (cached 7MB) CPU [18%@729,1%@729,0%@729,57%@729,9%@1728,86%@1728] GR3D_FREQ 0% cpu@57.312C soc2@55.812C soc0@56.093C gpu@56.531C tj@57.562C soc1@56.812C VDD_IN 6269mW/6124mW VDD_CPU_GPU_CV 1703mW/1473mW VDD_SOC 1547mW/1592mW
09-12-2026 20:05:33 RAM 7381/7620MB (lfb 2x2MB) SWAP 1433/12002MB (cached 7MB) CPU [1%@1728,0%@1728,0%@1728,28%@1728,0%@1728,95%@1728] GR3D_FREQ 0% cpu@57.281C soc2@55.812C soc0@56.125C gpu@56.375C tj@57.281C soc1@56.937C VDD_IN 6110mW/6124mW VDD_CPU_GPU_CV 1465mW/1473mW VDD_SOC 1547mW/1590mW
