09-12-2026 20:03:36 RAM 2559/7620MB (lfb 1x1MB) SWAP 1140/12002MB (cached 10MB) CPU [20%@1728,88%@1728,15%@1728,6%@1728,19%@729,9%@729] GR3D_FREQ 0% cpu@52.656C soc2@50.843C soc0@51.156C gpu@51.75C tj@52.656C soc1@52C VDD_IN 5882mW/5882mW VDD_CPU_GPU_CV 1547mW/1547mW VDD_SOC 1507mW/1507mW
09-12-2026 20:03:36 RAM 2928/7620MB (lfb 1x1MB) SWAP 1140/12002MB (cached 10MB) CPU [28%@1728,47%@1728,58%@1728,37%@1728,16%@1574,48%@1574] GR3D_FREQ 0% cpu@52.937C soc2@50.812C soc0@51.187C gpu@51.437C tj@52.937C soc1@52C VDD_IN 6348mW/6115mW VDD_CPU_GPU_CV 1703mW/1625mW VDD_SOC 1626mW/1567mW
09-12-2026 20:03:37 RAM 3166/7620MB (lfb 1x512kB) SWAP 1140/12002MB (cached 10MB) CPU [7%@1728,20%@1728,13%@1728,36%@1728,85%@1728,16%@1728] GR3D_FREQ 0% cpu@52.906C soc2@50.718C soc0@51.406C gpu@51.718C tj@52.718C soc1@51.937C VDD_IN 6200mW/6143mW VDD_CPU_GPU_CV 1507mW/1586mW VDD_SOC 1626mW/1586mW
09-12-2026 20:03:37 RAM 3408/7620MB (lfb 1x512kB) SWAP 1140/12002MB (cached 10MB) CPU [6%@1728,20%@1728,19%@1728,32%@1728,64%@1574,41%@1574] GR3D_FREQ 12% cpu@52.906C soc2@50.75C soc0@51.25C gpu@51.531C tj@52.906C soc1@51.968C VDD_IN 6229mW/6165mW VDD_CPU_GPU_CV 1507mW/1566mW VDD_SOC 1626mW/1596mW
09-12-2026 20:03:38 RAM 3858/7620MB (lfb 12x128kB) SWAP 1140/12002MB (cached 10MB) CPU [4%@1728,27%@1728,28%@1728,26%@1728,32%@1728,75%@1728] GR3D_FREQ 0% cpu@52.656C soc2@50.75C soc0@51.375C gpu@51.75C tj@52.656C soc1@51.937C VDD_IN 6269mW/6186mW VDD_CPU_GPU_CV 1505mW/1554mW VDD_SOC 1666mW/1610mW
09-12-2026 20:03:38 RAM 4016/7620MB (lfb 9x128kB) SWAP 1140/12002MB (cached 10MB) CPU [17%@1344,15%@1344,14%@1344,20%@1344,13%@1344,84%@1344] GR3D_FREQ 5% cpu@52.75C soc2@50.812C soc0@51.281C gpu@51.875C tj@52.75C soc1@52.187C VDD_IN 6160mW/6181mW VDD_CPU_GPU_CV 1468mW/1540mW VDD_SOC 1626mW/1613mW
09-12-2026 20:03:39 RAM 4481/7620MB (lfb 47x128kB) SWAP 1140/12002MB (cached 10MB) CPU [24%@1190,47%@1190,66%@1190,27%@1190,37%@729,47%@729] GR3D_FREQ 0% cpu@52.625C soc2@50.812C soc0@51.312C gpu@51.75C tj@52.625C soc1@52.062C VDD_IN 6200mW/6184mW VDD_CPU_GPU_CV 1428mW/1524mW VDD_SOC 1666mW/1620mW
09-12-2026 20:03:39 RAM 4577/7620MB (lfb 2x256kB) SWAP 1140/12002MB (cached 10MB) CPU [4%@1728,16%@1728,92%@1728,5%@1728,14%@1574,8%@1574] GR3D_FREQ 0% cpu@52.875C soc2@50.875C soc0@51.187C gpu@51.687C tj@52.875C soc1@52.093C VDD_IN 6041mW/6166mW VDD_CPU_GPU_CV 1349mW/1502mW VDD_SOC 1626mW/1621mW
09-12-2026 20:03:40 RAM 4981/7620MB (lfb 14x128kB) SWAP 1141/12002MB (cached 10MB) CPU [30%@1728,17%@1728,56%@1728,38%@1728,26%@1497,42%@1497] GR3D_FREQ 20% cpu@53.031C soc2@50.968C soc0@51.218C gpu@51.781C tj@53.031C soc1@52.093C VDD_IN 6428mW/6195mW VDD_CPU_GPU_CV 1624mW/1515mW VDD_SOC 1666mW/1626mW
09-12-2026 20:03:40 RAM 5293/7620MB (lfb 48x128kB) SWAP 1145/12002MB (cached 10MB) CPU [26%@729,26%@729,24%@729,70%@729,2%@1728,76%@1728] GR3D_FREQ 0% cpu@52.968C soc2@50.937C soc0@51.437C gpu@52C tj@52.968C soc1@52C VDD_IN 6507mW/6226mW VDD_CPU_GPU_CV 1782mW/1542mW VDD_SOC 1626mW/1626mW
09-12-2026 20:03:41 RAM 5474/7620MB (lfb 4x256kB) SWAP 1145/12002MB (cached 10MB) CPU [22%@1036,14%@1036,16%@1036,10%@1036,0%@1420,86%@1420] GR3D_FREQ 0% cpu@52.75C soc2@50.937C soc0@51.406C gpu@51.781C tj@52.75C soc1@52.062C VDD_IN 6150mW/6219mW VDD_CPU_GPU_CV 1468mW/1535mW VDD_SOC 1626mW/1626mW
