09-12-2026 22:44:48 RAM 3605/7620MB (lfb 4x4MB) SWAP 885/12002MB (cached 11MB) CPU [5%@729,16%@960,0%@960,18%@960,9%@1728,94%@1728] GR3D_FREQ 0% cpu@53.375C soc2@51.281C soc0@51.843C gpu@52.218C tj@53.375C soc1@52.468C VDD_IN 5842mW/5842mW VDD_CPU_GPU_CV 1587mW/1587mW VDD_SOC 1470mW/1470mW
09-12-2026 22:44:48 RAM 3745/7620MB (lfb 151x1MB) SWAP 885/12002MB (cached 11MB) CPU [18%@729,40%@729,5%@729,34%@729,26%@729,56%@729] GR3D_FREQ 35% cpu@53.125C soc2@51.281C soc0@51.843C gpu@52.437C tj@53.125C soc1@52.406C VDD_IN 6120mW/5981mW VDD_CPU_GPU_CV 1507mW/1547mW VDD_SOC 1629mW/1550mW
09-12-2026 22:44:49 RAM 3834/7620MB (lfb 151x1MB) SWAP 885/12002MB (cached 11MB) CPU [34%@1728,77%@1728,25%@1728,7%@1728,0%@729,27%@729] GR3D_FREQ 0% cpu@53.031C soc2@51.218C soc0@51.687C gpu@52.156C tj@53.031C soc1@52.375C VDD_IN 5882mW/5948mW VDD_CPU_GPU_CV 1230mW/1441mW VDD_SOC 1629mW/1576mW
09-12-2026 22:44:49 RAM 3879/7620MB (lfb 151x1MB) SWAP 885/12002MB (cached 11MB) CPU [6%@1728,81%@1728,6%@1728,9%@1728,0%@729,12%@729] GR3D_FREQ 34% cpu@53.031C soc2@51.281C soc0@51.781C gpu@52.312C tj@53.031C soc1@52.656C VDD_IN 5882mW/5932mW VDD_CPU_GPU_CV 1230mW/1389mW VDD_SOC 1629mW/1589mW
09-12-2026 22:44:50 RAM 4077/7620MB (lfb 151x1MB) SWAP 885/12002MB (cached 11MB) CPU [12%@729,61%@729,42%@729,41%@729,0%@729,46%@729] GR3D_FREQ 3% cpu@52.843C soc2@51.218C soc0@51.718C gpu@52.156C tj@52.843C soc1@52.625C VDD_IN 5921mW/5929mW VDD_CPU_GPU_CV 1230mW/1357mW VDD_SOC 1629mW/1597mW
09-12-2026 22:44:50 RAM 4076/7620MB (lfb 151x1MB) SWAP 885/12002MB (cached 11MB) CPU [10%@1728,90%@1728,11%@1728,1%@1728,0%@729,6%@729] GR3D_FREQ 0% cpu@53.218C soc2@51.406C soc0@51.656C gpu@52.218C tj@52.906C soc1@52.468C VDD_IN 5842mW/5915mW VDD_CPU_GPU_CV 1150mW/1322mW VDD_SOC 1629mW/1603mW
09-12-2026 22:44:51 RAM 4205/7620MB (lfb 120x1MB) SWAP 885/12002MB (cached 11MB) CPU [23%@806,51%@806,33%@806,23%@806,2%@729,37%@729] GR3D_FREQ 79% cpu@53C soc2@51.312C soc0@51.843C gpu@52.187C tj@53C soc1@52.531C VDD_IN 5882mW/5910mW VDD_CPU_GPU_CV 1190mW/1303mW VDD_SOC 1629mW/1606mW
09-12-2026 22:44:51 RAM 4231/7620MB (lfb 92x1MB) SWAP 885/12002MB (cached 11MB) CPU [10%@729,33%@729,63%@729,34%@729,36%@1420,33%@1420] GR3D_FREQ 0% cpu@52.968C soc2@51.25C soc0@51.875C gpu@52.187C tj@52.968C soc1@52.437C VDD_IN 5882mW/5907mW VDD_CPU_GPU_CV 1190mW/1289mW VDD_SOC 1629mW/1609mW
09-12-2026 22:44:52 RAM 4236/7620MB (lfb 92x1MB) SWAP 885/12002MB (cached 11MB) CPU [5%@1728,3%@1728,2%@1728,2%@1728,86%@1420,8%@1420] GR3D_FREQ 0% cpu@53.187C soc2@51.281C soc0@51.781C gpu@52.187C tj@53.187C soc1@52.343C VDD_IN 5842mW/5899mW VDD_CPU_GPU_CV 1190mW/1278mW VDD_SOC 1589mW/1607mW
09-12-2026 22:44:52 RAM 4395/7620MB (lfb 94x1MB) SWAP 885/12002MB (cached 11MB) CPU [48%@729,41%@729,35%@1728,42%@1728,2%@806,62%@806] GR3D_FREQ 39% cpu@52.906C soc2@51.312C soc0@51.781C gpu@52.187C tj@53.093C soc1@52.437C VDD_IN 5921mW/5902mW VDD_CPU_GPU_CV 1230mW/1273mW VDD_SOC 1629mW/1609mW
09-12-2026 22:44:53 RAM 4469/7620MB (lfb 94x1MB) SWAP 885/12002MB (cached 11MB) CPU [27%@729,23%@729,20%@729,16%@729,1%@1728,80%@1728] GR3D_FREQ 0% cpu@53.093C soc2@51.187C soc0@51.687C gpu@52C tj@53.093C soc1@52.437C VDD_IN 5842mW/5896mW VDD_CPU_GPU_CV 1150mW/1262mW VDD_SOC 1629mW/1611mW
09-12-2026 22:44:53 RAM 4539/7620MB (lfb 82x1MB) SWAP 885/12002MB (cached 11MB) CPU [19%@729,16%@729,8%@729,15%@729,6%@883,80%@883] GR3D_FREQ 12% cpu@52.937C soc2@51.156C soc0@51.718C gpu@52.281C tj@52.937C soc1@52.468C VDD_IN 5921mW/5898mW VDD_CPU_GPU_CV 1269mW/1263mW VDD_SOC 1629mW/1612mW
09-12-2026 22:44:54 RAM 4771/7620MB (lfb 31x1MB) SWAP 885/12002MB (cached 11MB) CPU [21%@806,37%@806,31%@1728,54%@1728,44%@1113,44%@1113] GR3D_FREQ 0% cpu@52.875C soc2@51.187C soc0@51.687C gpu@51.937C tj@52.875C soc1@52.562C VDD_IN 5961mW/5903mW VDD_CPU_GPU_CV 1230mW/1260mW VDD_SOC 1629mW/1614mW
09-12-2026 22:44:54 RAM 4816/7620MB (lfb 26x1MB) SWAP 885/12002MB (cached 11MB) CPU [12%@1728,12%@1728,4%@1728,81%@1728,13%@729,13%@729] GR3D_FREQ 0% cpu@53.093C soc2@51.187C soc0@51.656C gpu@52.218C tj@53.093C soc1@52.5C VDD_IN 5882mW/5902mW VDD_CPU_GPU_CV 1190mW/1255mW VDD_SOC 1629mW/1615mW
09-12-2026 22:44:55 RAM 4988/7620MB (lfb 77x512kB) SWAP 885/12002MB (cached 11MB) CPU [19%@729,21%@729,2%@729,73%@729,31%@729,33%@729] GR3D_FREQ 80% cpu@52.906C soc2@51.281C soc0@51.718C gpu@51.968C tj@52.906C soc1@52.5C VDD_IN 6001mW/5908mW VDD_CPU_GPU_CV 1269mW/1256mW VDD_SOC 1629mW/1616mW
09-12-2026 22:44:55 RAM 5191/7620MB (lfb 5x512kB) SWAP 885/12002MB (cached 11MB) CPU [34%@729,30%@729,36%@729,44%@729,32%@729,44%@729] GR3D_FREQ 34% cpu@53.062C soc2@51.25C soc0@51.781C gpu@52.25C tj@53.062C soc1@52.437C VDD_IN 6041mW/5917mW VDD_CPU_GPU_CV 1309mW/1259mW VDD_SOC 1669mW/1619mW
09-12-2026 22:44:56 RAM 5213/7620MB (lfb 4x512kB) SWAP 885/12002MB (cached 11MB) CPU [5%@1728,95%@1728,4%@1728,4%@1728,0%@729,7%@729] GR3D_FREQ 0% cpu@53C soc2@51.25C soc0@51.75C gpu@52.125C tj@53C soc1@52.406C VDD_IN 5882mW/5914mW VDD_CPU_GPU_CV 1190mW/1255mW VDD_SOC 1589mW/1617mW
