MemTotal:        7802700 kB
MemFree:         4347968 kB
MemAvailable:    4557020 kB
Buffers:           14200 kB
Cached:           405872 kB
SwapCached:        20100 kB
Active:            81308 kB
Inactive:        1075428 kB
Active(anon):       6180 kB
Inactive(anon):   842536 kB
Active(file):      75128 kB
Inactive(file):   232892 kB
Unevictable:       35400 kB
Mlocked:               0 kB
SwapTotal:       8388604 kB
SwapFree:        8360820 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:        771740 kB
Mapped:            92672 kB
Shmem:             76648 kB
KReclaimable:      95248 kB
Slab:            1033744 kB
SReclaimable:      95248 kB
SUnreclaim:       938496 kB
KernelStack:        4912 kB
PageTables:        17800 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    12289952 kB
Committed_AS:    1502756 kB
VmallocTotal:   133143592960 kB
VmallocUsed:       58528 kB
VmallocChunk:          0 kB
Percpu:             4584 kB
HardwareCorrupted:     0 kB
AnonHugePages:      4096 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         262144 kB
CmaFree:             524 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
