09-13-2026 00:26:57 RAM 3096/7620MB (lfb 7x4MB) SWAP 908/12002MB (cached 10MB) CPU [21%@1728,82%@1728,12%@1728,13%@1728,12%@729,12%@729] GR3D_FREQ 0% cpu@50.312C soc2@48.468C soc0@48.937C gpu@49.375C tj@50.312C soc1@49.656C VDD_IN 5842mW/5842mW VDD_CPU_GPU_CV 1626mW/1626mW VDD_SOC 1470mW/1470mW
09-13-2026 00:26:58 RAM 3141/7620MB (lfb 7x4MB) SWAP 908/12002MB (cached 10MB) CPU [5%@1728,90%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.5C soc2@48.531C soc0@49.031C gpu@49.312C tj@50.375C soc1@49.656C VDD_IN 5723mW/5783mW VDD_CPU_GPU_CV 1468mW/1547mW VDD_SOC 1470mW/1470mW
09-13-2026 00:26:58 RAM 3164/7620MB (lfb 7x4MB) SWAP 908/12002MB (cached 10MB) CPU [50%@1728,38%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.843C soc2@48.593C soc0@49.125C gpu@49.562C tj@50.843C soc1@49.625C VDD_IN 5643mW/5736mW VDD_CPU_GPU_CV 1391mW/1495mW VDD_SOC 1470mW/1470mW
09-13-2026 00:26:59 RAM 3174/7620MB (lfb 7x4MB) SWAP 908/12002MB (cached 10MB) CPU [10%@1728,88%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.437C soc2@48.468C soc0@49.031C gpu@49.562C tj@50.437C soc1@49.625C VDD_IN 5723mW/5733mW VDD_CPU_GPU_CV 1428mW/1478mW VDD_SOC 1470mW/1470mW
09-13-2026 00:26:59 RAM 3193/7620MB (lfb 7x4MB) SWAP 907/12002MB (cached 10MB) CPU [3%@1728,93%@1728,0%@1728,0%@1728,3%@729,0%@729] GR3D_FREQ 0% cpu@50.5C soc2@48.468C soc0@49.093C gpu@49.687C tj@50.5C soc1@49.75C VDD_IN 5683mW/5723mW VDD_CPU_GPU_CV 1430mW/1469mW VDD_SOC 1470mW/1470mW
09-13-2026 00:27:00 RAM 3203/7620MB (lfb 7x4MB) SWAP 907/12002MB (cached 10MB) CPU [2%@1728,84%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.437C soc2@48.593C soc0@49.031C gpu@49.5C tj@50.437C soc1@49.718C VDD_IN 5603mW/5703mW VDD_CPU_GPU_CV 1311mW/1442mW VDD_SOC 1510mW/1477mW
09-13-2026 00:27:00 RAM 3223/7620MB (lfb 7x4MB) SWAP 907/12002MB (cached 10MB) CPU [2%@1728,92%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.437C soc2@48.593C soc0@49.031C gpu@49.406C tj@50.437C soc1@49.687C VDD_IN 5683mW/5700mW VDD_CPU_GPU_CV 1388mW/1435mW VDD_SOC 1470mW/1476mW
09-13-2026 00:27:01 RAM 3254/7620MB (lfb 7x4MB) SWAP 907/12002MB (cached 10MB) CPU [3%@1728,48%@1728,42%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.937C soc2@48.531C soc0@49.187C gpu@49.375C tj@50.937C soc1@49.625C VDD_IN 5683mW/5698mW VDD_CPU_GPU_CV 1388mW/1429mW VDD_SOC 1470mW/1475mW
09-13-2026 00:27:01 RAM 3261/7620MB (lfb 7x4MB) SWAP 907/12002MB (cached 10MB) CPU [4%@729,0%@729,76%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@50.718C soc2@48.5C soc0@49.093C gpu@49.531C tj@50.718C soc1@49.687C VDD_IN 5524mW/5679mW VDD_CPU_GPU_CV 1309mW/1415mW VDD_SOC 1470mW/1474mW
09-13-2026 00:27:02 RAM 3269/7620MB (lfb 7x4MB) SWAP 907/12002MB (cached 10MB) CPU [55%@1728,36%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.906C soc2@48.687C soc0@49.093C gpu@49.406C tj@50.906C soc1@49.75C VDD_IN 5643mW/5675mW VDD_CPU_GPU_CV 1428mW/1417mW VDD_SOC 1470mW/1474mW
09-13-2026 00:27:02 RAM 3264/7620MB (lfb 7x4MB) SWAP 907/12002MB (cached 10MB) CPU [19%@1728,70%@1728,0%@1728,1%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.406C soc2@48.625C soc0@49.093C gpu@49.75C tj@50.406C soc1@49.718C VDD_IN 5643mW/5672mW VDD_CPU_GPU_CV 1388mW/1414mW VDD_SOC 1470mW/1474mW
09-13-2026 00:27:03 RAM 3278/7620MB (lfb 7x4MB) SWAP 907/12002MB (cached 10MB) CPU [1%@1728,98%@1728,1%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.468C soc2@48.562C soc0@49.281C gpu@49.468C tj@50.468C soc1@49.687C VDD_IN 5723mW/5676mW VDD_CPU_GPU_CV 1388mW/1412mW VDD_SOC 1510mW/1477mW
09-13-2026 00:27:03 RAM 3307/7620MB (lfb 7x4MB) SWAP 907/12002MB (cached 10MB) CPU [0%@1728,57%@1728,0%@1728,46%@1728,37%@1728,0%@1728] GR3D_FREQ 0% cpu@50.906C soc2@48.562C soc0@49.218C gpu@49.75C tj@50.906C soc1@49.687C VDD_IN 5961mW/5698mW VDD_CPU_GPU_CV 1626mW/1428mW VDD_SOC 1510mW/1479mW
09-13-2026 00:27:04 RAM 3450/7620MB (lfb 3x4MB) SWAP 907/12002MB (cached 10MB) CPU [14%@1728,12%@1728,10%@1728,100%@1728,98%@1728,15%@1728] GR3D_FREQ 0% cpu@51.25C soc2@48.625C soc0@49.156C gpu@49.625C tj@51.25C soc1@49.718C VDD_IN 6478mW/5754mW VDD_CPU_GPU_CV 1984mW/1468mW VDD_SOC 1547mW/1484mW
09-13-2026 00:27:04 RAM 3504/7620MB (lfb 2x2MB) SWAP 907/12002MB (cached 10MB) CPU [12%@1728,15%@1728,14%@1728,100%@1728,100%@1728,15%@1728] GR3D_FREQ 0% cpu@51.062C soc2@48.718C soc0@49.125C gpu@49.593C tj@51.062C soc1@49.937C VDD_IN 6597mW/5810mW VDD_CPU_GPU_CV 2099mW/1510mW VDD_SOC 1547mW/1488mW
09-13-2026 00:27:05 RAM 3521/7620MB (lfb 2x2MB) SWAP 907/12002MB (cached 10MB) CPU [2%@1728,0%@1728,0%@1728,100%@1728,58%@1728,28%@1728] GR3D_FREQ 0% cpu@51.093C soc2@48.781C soc0@49.218C gpu@49.687C tj@50.906C soc1@49.781C VDD_IN 6478mW/5852mW VDD_CPU_GPU_CV 2063mW/1545mW VDD_SOC 1507mW/1489mW
09-13-2026 00:27:05 RAM 3549/7620MB (lfb 2x2MB) SWAP 907/12002MB (cached 10MB) CPU [5%@1728,0%@1728,1%@1728,100%@1728,0%@960,71%@960] GR3D_FREQ 0% cpu@51.125C soc2@48.781C soc0@49.343C gpu@49.656C tj@51.125C soc1@49.812C VDD_IN 6359mW/5882mW VDD_CPU_GPU_CV 1944mW/1568mW VDD_SOC 1507mW/1490mW
09-13-2026 00:27:06 RAM 3590/7620MB (lfb 2x2MB) SWAP 907/12002MB (cached 10MB) CPU [3%@1728,0%@1728,0%@1728,100%@1728,1%@1267,80%@1267] GR3D_FREQ 0% cpu@50.968C soc2@48.781C soc0@49.343C gpu@49.531C tj@50.968C soc1@49.781C VDD_IN 6319mW/5906mW VDD_CPU_GPU_CV 1864mW/1585mW VDD_SOC 1550mW/1494mW
09-13-2026 00:27:06 RAM 3625/7620MB (lfb 2x2MB) SWAP 907/12002MB (cached 10MB) CPU [1%@1728,2%@1728,0%@1728,100%@1728,0%@1728,88%@1728] GR3D_FREQ 0% cpu@51.031C soc2@48.75C soc0@49.281C gpu@49.687C tj@51.031C soc1@49.968C VDD_IN 6518mW/5938mW VDD_CPU_GPU_CV 1904mW/1601mW VDD_SOC 1587mW/1499mW
09-13-2026 00:27:07 RAM 3671/7620MB (lfb 2x2MB) SWAP 907/12002MB (cached 10MB) CPU [5%@1728,3%@1728,1%@1728,31%@1728,1%@1728,92%@1728] GR3D_FREQ 0% cpu@50.687C soc2@48.625C soc0@49.218C gpu@49.593C tj@50.687C soc1@49.937C VDD_IN 6080mW/5945mW VDD_CPU_GPU_CV 1626mW/1603mW VDD_SOC 1510mW/1499mW
09-13-2026 00:27:07 RAM 3691/7620MB (lfb 2x2MB) SWAP 907/12002MB (cached 10MB) CPU [3%@729,0%@729,0%@729,0%@729,0%@1728,91%@1728] GR3D_FREQ 0% cpu@50.562C soc2@48.718C soc0@49.25C gpu@49.593C tj@50.562C soc1@49.937C VDD_IN 5842mW/5940mW VDD_CPU_GPU_CV 1507mW/1598mW VDD_SOC 1510mW/1500mW
09-13-2026 00:27:08 RAM 3704/7620MB (lfb 2x2MB) SWAP 907/12002MB (cached 10MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,92%@1728] GR3D_FREQ 0% cpu@50.531C soc2@48.75C soc0@49.25C gpu@49.593C tj@50.531C soc1@49.812C VDD_IN 5802mW/5934mW VDD_CPU_GPU_CV 1349mW/1587mW VDD_SOC 1510mW/1500mW
09-13-2026 00:27:08 RAM 3738/7620MB (lfb 76x1MB) SWAP 907/12002MB (cached 10MB) CPU [7%@1728,18%@1728,2%@1728,2%@1728,3%@1190,61%@1190] GR3D_FREQ 0% cpu@50.75C soc2@48.687C soc0@49.406C gpu@49.812C tj@50.75C soc1@49.75C VDD_IN 5603mW/5920mW VDD_CPU_GPU_CV 1232mW/1571mW VDD_SOC 1510mW/1501mW
