09-14-2026 18:16:31 RAM 1882/7620MB (lfb 4x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@960,0%@960,0%@960,0%@960,0%@729,0%@729] GR3D_FREQ 0% cpu@49.875C soc2@48.218C soc0@48.968C gpu@49.312C tj@49.875C soc1@49.531C VDD_IN 4491mW/4491mW VDD_CPU_GPU_CV 516mW/516mW VDD_SOC 1430mW/1430mW
09-14-2026 18:16:32 RAM 1882/7620MB (lfb 4x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50C soc2@48.25C soc0@49.031C gpu@49.187C tj@50C soc1@49.437C VDD_IN 4451mW/4471mW VDD_CPU_GPU_CV 516mW/516mW VDD_SOC 1430mW/1430mW
09-14-2026 18:16:32 RAM 1882/7620MB (lfb 4x4MB) SWAP 779/8192MB (cached 203MB) CPU [3%@1728,0%@1728,0%@1728,1%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.031C soc2@48.312C soc0@49.093C gpu@49.281C tj@50.031C soc1@49.468C VDD_IN 4451mW/4464mW VDD_CPU_GPU_CV 516mW/516mW VDD_SOC 1430mW/1430mW
09-14-2026 18:16:33 RAM 1882/7620MB (lfb 4x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@49.843C soc2@48.187C soc0@49.031C gpu@49.468C tj@49.843C soc1@49.656C VDD_IN 4451mW/4461mW VDD_CPU_GPU_CV 516mW/516mW VDD_SOC 1430mW/1430mW
09-14-2026 18:16:33 RAM 1882/7620MB (lfb 4x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@49.812C soc2@48.218C soc0@49.031C gpu@49.375C tj@49.812C soc1@49.562C VDD_IN 4451mW/4459mW VDD_CPU_GPU_CV 516mW/516mW VDD_SOC 1430mW/1430mW
09-14-2026 18:16:34 RAM 1882/7620MB (lfb 4x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@49.843C soc2@48.281C soc0@49C gpu@49.531C tj@49.843C soc1@49.5C VDD_IN 4458mW/4459mW VDD_CPU_GPU_CV 516mW/516mW VDD_SOC 1430mW/1430mW
09-14-2026 18:16:34 RAM 1882/7620MB (lfb 4x4MB) SWAP 779/8192MB (cached 203MB) CPU [1%@1728,1%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.062C soc2@48.25C soc0@49C gpu@49.281C tj@50.062C soc1@49.593C VDD_IN 4458mW/4459mW VDD_CPU_GPU_CV 516mW/516mW VDD_SOC 1430mW/1430mW
09-14-2026 18:16:35 RAM 1882/7620MB (lfb 4x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@1728,1%@1728,1%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@49.843C soc2@48.218C soc0@49.062C gpu@49.468C tj@49.843C soc1@49.562C VDD_IN 4451mW/4458mW VDD_CPU_GPU_CV 516mW/516mW VDD_SOC 1430mW/1430mW
09-14-2026 18:16:35 RAM 1882/7620MB (lfb 4x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@1728,0%@1728,0%@1728,1%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@49.906C soc2@48.187C soc0@48.968C gpu@49.312C tj@49.906C soc1@49.468C VDD_IN 4451mW/4457mW VDD_CPU_GPU_CV 516mW/516mW VDD_SOC 1430mW/1430mW
09-14-2026 18:16:36 RAM 1882/7620MB (lfb 4x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@49.812C soc2@48.156C soc0@48.968C gpu@49.187C tj@49.968C soc1@49.687C VDD_IN 4451mW/4456mW VDD_CPU_GPU_CV 516mW/516mW VDD_SOC 1430mW/1430mW
09-14-2026 18:16:36 RAM 1882/7620MB (lfb 4x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@729,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@49.875C soc2@48.187C soc0@49C gpu@49.312C tj@49.875C soc1@49.562C VDD_IN 4451mW/4456mW VDD_CPU_GPU_CV 516mW/516mW VDD_SOC 1430mW/1430mW
